date,manufacture
2009-01-01,45.3
2009-02-01,49
2009-03-01,52.4
2009-04-01,53.5
2009-05-01,53.1
2009-06-01,53.2
2009-07-01,53.3
2009-08-01,54
2009-09-01,54.3
2009-10-01,55.2
2009-11-01,55.2
2009-12-01,56.6
2010-01-01,55.8
2010-02-01,52
2010-03-01,55.1
2010-04-01,55.7
2010-05-01,53.9
2010-06-01,52.1
2010-07-01,51.2
2010-08-01,51.7
2010-09-01,53.8
2010-10-01,54.7
2010-11-01,55.2
2010-12-01,53.9
2011-01-01,52.9
2011-02-01,52.2
2011-03-01,53.4
2011-04-01,52.9
2011-05-01,52
2011-06-01,50.9
2011-07-01,50.7
2011-08-01,50.9
2011-09-01,51.2
2011-10-01,50.4
2011-11-01,49
2011-12-01,50.3
2012-01-01,50.5
2012-02-01,51
2012-03-01,53.1
2012-04-01,53.3
2012-05-01,50.4
2012-06-01,50.2
2012-07-01,50.1
2012-08-01,49.2
2012-09-01,49.8
2012-10-01,50.2
2012-11-01,50.6
2012-12-01,50.6
2013-01-01,50.4
2013-02-01,50.1
2013-03-01,50.9
2013-04-01,50.6
2013-05-01,50.8
2013-06-01,50.1
2013-07-01,50.3
2013-08-01,51
2013-09-01,51.1
2013-10-01,51.4
2013-11-01,51.4
2013-12-01,51
2014-01-01,50.5
2014-02-01,50.2
2014-03-01,50.3
2014-04-01,50.4
2014-05-01,50.8
2014-06-01,51
2014-07-01,51.7
2014-08-01,51.1
2014-09-01,51.1
2014-10-01,50.8
2014-11-01,50.3
2014-12-01,50.1
2015-01-01,49.8
2015-02-01,49.9
2015-03-01,50.1
2015-04-01,50.1
2015-05-01,50.2
2015-06-01,50.2
2015-07-01,50
2015-08-01,49.7
2015-09-01,49.8
2015-10-01,49.8
2015-11-01,49.6
2015-12-01,49.7
2016-01-01,49.4
2016-02-01,49
2016-03-01,50.2
2016-04-01,50.1
2016-05-01,50.1
2016-06-01,50
2016-07-01,49.9
2016-08-01,50.4
2016-09-01,50.4
2016-10-01,51.2
2016-11-01,51.7
2016-12-01,51.4
2017-01-01,51.3
2017-02-01,51.6
2017-03-01,51.8
2017-04-01,51.2
2017-05-01,51.2
2017-06-01,51.7
2017-07-01,51.4
2017-08-01,51.7
2017-09-01,52.4
2017-10-01,51.6
2017-11-01,51.8
2017-12-01,51.6
2018-01-01,51.3
2018-02-01,50.3
2018-03-01,51.5
2018-04-01,51.4
2018-05-01,51.9
2018-06-01,51.5
2018-07-01,51.2
2018-08-01,51.3
2018-09-01,50.8
2018-10-01,50.2
2018-11-01,50
2018-12-01,49.4
